City_ID,City,Country,Lat,Lon,Max Temp,Description,Hotel Name
312,Nhulunbuy,AU,-12.2333,136.7667,79.41,clear sky,East Arnhem Real Estate
313,Luohe,CN,33.5717,114.0353,84.33,clear sky,BNB 29-Tunxi Old Street Branch
314,Manbij,SY,36.5281,37.9549,78.49,clear sky,Manbej City Hotel
315,Bauta,CU,22.9828,-82.5464,75.09,few clouds,El Refugio
316,Marsh harbour,BS,26.5412,-77.0636,82.71,clear sky,Abaco Beach Resort
317,Norilsk,RU,69.3535,88.2027,78.42,few clouds,NordHostel
318,Sirjan,IR,29.452,55.6814,83.61,clear sky,MAPNA Building
319,Figline valdarno,IT,43.6195,11.4693,75.52,clear sky,Hotel Villa Casagrande
320,Seminole,US,28.7086,-81.2081,83.37,clear sky,The Oviedo Lodge Motel
321,Urusha,RU,54.05,122.9,80.76,few clouds,Dom Otdykha Lokomotivnykh Brigad
322,Walla walla,US,46.0646,-118.343,79.57,clear sky,"Holiday Inn Express Walla Walla, an IHG Hotel"
323,Saint anthony,CA,45.0205,-93.218,80.92,clear sky,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
324,Puerto penasco,MX,31.3167,-113.5333,87.91,scattered clouds,Playa Bonita Resort
325,Alcudia,ES,39.8532,3.1214,77.38,scattered clouds,Zafiro Tropic
326,El dorado,US,38.7666,-120.5177,76.86,clear sky,South Fork Group Campground
327,Natal,BR,-5.795,-35.2094,75.42,scattered clouds,Villa Park Hotel | Natal
328,Fort smith,US,35.3859,-94.3986,82.44,clear sky,Hampton Inn Fort Smith
329,Sederot,IL,31.525,34.5969,75.6,clear sky,Ginkhou Inn
330,Hope,US,33.6671,-93.5916,80.65,few clouds,Best Western Hope
331,Wad madani,SD,14.4012,33.5199,83.05,few clouds,فندق يوغسلافيا
332,Kandrian,PG,-6.2167,149.55,86.14,scattered clouds,Kandrian Station
333,Kavieng,PG,-2.5744,150.7967,84.81,few clouds,Nusa Island Retreat
334,Fairmont,US,39.4851,-80.1426,76.37,scattered clouds,Clarion Inn
335,Dumas,US,35.8656,-101.9732,80.74,clear sky,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
336,Kokopo,PG,-4.352,152.2633,86.36,clear sky,Kokopo Beach Bungalow Resort
337,La seyne-sur-mer,FR,43.0982,5.8847,75.88,scattered clouds,Hôtel Première Classe Toulon La Seyne Sur Mer
338,Kundiawa,PG,-6.0167,144.9667,75.33,scattered clouds,Pari
339,Hanzhong,CN,33.0728,107.0303,80.37,scattered clouds,Guorui Hotel
340,Manado,ID,1.487,124.8455,81.37,scattered clouds,Aryaduta Hotel
341,Manokwari,ID,-0.8667,134.0833,82.69,few clouds,Swiss Belhotel Manokwari
342,Lorengau,PG,-2.0226,147.2712,85.01,scattered clouds,Lorengau Harbourside Hotel
343,Cape canaveral,US,28.4058,-80.6048,84.07,clear sky,Residence Inn by Marriott Cape Canaveral Cocoa Beach
344,Martapura,ID,-3.4167,114.85,87.89,few clouds,Montana Hotel Syariah
345,Freeport,US,40.6576,-73.5832,85.96,clear sky,The Freeport Inn and Marina
346,Namatanai,PG,-3.6667,152.4333,84.76,few clouds,Seagulls Inn Namatani
347,Port moresby,PG,-9.4431,147.1797,85.42,scattered clouds,Lamana Hotel (Port Moresby)
348,Samarai,PG,-10.6167,150.6667,82.42,scattered clouds,Nuli Sapi
349,Palaikastron,GR,35.2,26.25,76.23,clear sky,Marina Village
350,Zhanaozen,KZ,43.3,52.8,80.02,clear sky,K.korabay 28A
351,Brattleboro,US,42.8509,-72.5579,75.22,few clouds,"Holiday Inn Express & Suites Brattleboro, an IHG Hotel"
352,Elkhart,US,41.5823,-85.8344,76.89,few clouds,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
353,Zhezkazgan,KZ,47.8043,67.7144,78.78,few clouds,Hotel Zumrat
